trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
133,False,"{'a': 0.4, 'e': 0.5897833576128505}",30,0,-417.68474818702344,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
134,False,"{'a': 0.4, 'e': 0.5874289361645234}",30,16,24.36966406593407,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.4, 'e': 0.585083913591707}",25,6,-13.419162710383493,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
136,False,"{'a': 0.4, 'e': 0.5827482523739896}",20,14,16.39952226614742,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.4, 'e': 0.5804219151407424}",25,2,-333.4770876465438,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 1}",1
138,False,"{'a': 0.4, 'e': 0.5781048646705196}",25,0,-1401.9350921015514,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 4}",0
139,False,"{'a': 0.4, 'e': 0.5757970638904646}",25,0,-380.4288266487588,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
140,False,"{'a': 0.4, 'e': 0.5734984758757153}",30,0,-37.65689517628844,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",0
141,False,"{'a': 0.4, 'e': 0.5712090638488149}",25,0,-336.5626497626158,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
142,False,"{'a': 0.4, 'e': 0.5689287911791218}",30,0,-4.131098227585225,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
143,False,"{'a': 0.4, 'e': 0.5666576213822246}",30,10,-32.97349624729452,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",1
144,False,"{'a': 0.4, 'e': 0.5643955181193584}",25,11,-322.299895346994,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 1}",1
145,False,"{'a': 0.4, 'e': 0.5621424451968224}",20,0,-2.610572939412884,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
146,False,"{'a': 0.4, 'e': 0.559898366565402}",25,12,-320.3214878115531,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
147,False,"{'a': 0.4, 'e': 0.5576632463197913}",20,7,20.959151053031384,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.4, 'e': 0.5554370486980184}",25,0,-1087.7772936850304,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",0
149,False,"{'a': 0.4, 'e': 0.5532197380808739}",25,0,-435.88399770518174,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
150,False,"{'a': 0.4, 'e': 0.5510112789913408}",20,9,-687.6597759790579,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 2}",1
151,False,"{'a': 0.4, 'e': 0.5488116360940265}",20,0,-347.8035452722071,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
152,False,"{'a': 0.4, 'e': 0.5466207741945976}",20,7,-2.092838190512163,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
153,False,"{'a': 0.4, 'e': 0.5444386582392171}",25,16,-338.0270129033907,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
154,False,"{'a': 0.4, 'e': 0.5422652533139832}",25,7,-36.87208491402812,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
155,False,"{'a': 0.4, 'e': 0.5401005246443706}",20,0,-20.239345016007942,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
156,False,"{'a': 0.4, 'e': 0.5379444375946745}",35,9,30.625252042123492,"{0: 22, 1: 2, 2: 2, 3: 0, 4: 0}",1
157,False,"{'a': 0.4, 'e': 0.535796957667456}",20,6,-725.1673130790939,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 2}",1
158,False,"{'a': 0.4, 'e': 0.5336580505029906}",20,14,19.341793951144417,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.4, 'e': 0.5315276818787179}",25,0,-718.9548526581078,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
160,False,"{'a': 0.4, 'e': 0.5294058177086945}",20,3,-368.7872458418007,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
161,False,"{'a': 0.4, 'e': 0.5272924240430485}",25,20,16.81738759508942,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.4, 'e': 0.5251874670674361}",30,0,-684.9204639979164,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
163,False,"{'a': 0.4, 'e': 0.5230909131025008}",20,14,11.088956912907173,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.4, 'e': 0.5210027286033344}",25,11,26.822080954963347,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.4, 'e': 0.5189228801589404}",25,0,-39.26093893338413,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
166,False,"{'a': 0.4, 'e': 0.5168513344916993}",30,22,27.402440280696943,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.4, 'e': 0.5147880584568362}",20,0,5.905199948772783,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
168,False,"{'a': 0.4, 'e': 0.5127330190418905}",20,0,-321.67538440122377,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
169,False,"{'a': 0.4, 'e': 0.5106861833661879}",25,0,-384.33101590819575,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
170,False,"{'a': 0.4, 'e': 0.5086475186803137}",20,0,-403.75943490659427,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
171,False,"{'a': 0.4, 'e': 0.5066169923655897}",20,10,-20.264681579090404,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
172,False,"{'a': 0.4, 'e': 0.5045945719335512}",20,4,12.298627592654867,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
173,False,"{'a': 0.4, 'e': 0.5025802250254284}",20,3,-5.496387228541121,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
174,False,"{'a': 0.4, 'e': 0.5005739194116277}",20,0,-342.288518874742,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
175,False,"{'a': 0.4, 'e': 0.49857562299121655}",20,8,-1.0987731133457679,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
176,False,"{'a': 0.4, 'e': 0.4965853037914095}",25,1,-1069.1307408508794,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 3}",1
177,False,"{'a': 0.4, 'e': 0.494602929967057}",20,14,-330.74593137278146,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
178,False,"{'a': 0.4, 'e': 0.49262846980013547}",20,14,8.46970466312962,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.4, 'e': 0.4906618916992402}",20,0,0.5981126158153536,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
180,False,"{'a': 0.4, 'e': 0.4887031641990795}",20,0,-744.2916602275393,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
181,False,"{'a': 0.4, 'e': 0.4867522559599717}",30,9,29.322973038766534,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.4, 'e': 0.4848091357673433}",25,14,15.798892594665148,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 0.4, 'e': 0.48287377253122976}",35,21,-42.30680804858623,"{0: 10, 1: 3, 2: 0, 3: 1, 4: 0}",1
184,False,"{'a': 0.4, 'e': 0.48094613528577806}",20,0,3.437932976573839,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
185,False,"{'a': 0.4, 'e': 0.4790261931887511}",20,6,29.0727684284495,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
186,False,"{'a': 0.4, 'e': 0.47711391552103444}",35,9,43.51806406118112,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.4, 'e': 0.47520927168614446}",20,0,-97.23113744506796,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
188,False,"{'a': 0.4, 'e': 0.47331223120973936}",20,9,14.451891007659512,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.4, 'e': 0.4714227637391309}",25,11,4.188590350877624,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
190,False,"{'a': 0.4, 'e': 0.4695408390427993}",30,0,-765.4040955191199,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
191,False,"{'a': 0.4, 'e': 0.46766642700990924}",25,14,-396.87723308920187,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 1}",1
192,False,"{'a': 0.4, 'e': 0.46579949764982825}",20,0,-80.52554083725047,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
193,False,"{'a': 0.4, 'e': 0.4639400210916467}",20,0,-350.7258333222615,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
194,False,"{'a': 0.4, 'e': 0.4620879675837}",35,17,-323.8292552869422,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
195,False,"{'a': 0.4, 'e': 0.4602433074930926}",25,15,-332.6574982767326,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
196,False,"{'a': 0.4, 'e': 0.45840601130522357}",25,17,0.7950428373780545,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
197,False,"{'a': 0.4, 'e': 0.4565760496233147}",30,0,-83.19669201144329,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 0}",0
198,False,"{'a': 0.4, 'e': 0.45475339316794017}",25,0,-725.3290154125924,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
199,False,"{'a': 0.4, 'e': 0.4529380127765577}",25,2,-451.9297776161032,"{0: 16, 1: 0, 2: 4, 3: 2, 4: 1}",1
200,False,"{'a': 0.4, 'e': 0.4511298794030424}",20,13,22.914090952546264,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
